효성,66000,67100,66100,65600,66100,66000,65300,62100,62500,61500
DB하이텍,30750,30400,30900,31350,31350,30900,31850,30750,30500,30450
OCI,56900,60200,59000,45400,43550,44950,44850,43850,46900,45300
더블유게임즈,73200,76300,77200,74800,75200,75300,79100,80200,80600,80900
한전KPS,29400,30050,30050,29900,29700,29900,29800,29900,29500,29050
아이에스동서,42800,41250,38950,39000,39100,39250,38600,39200,39400,37450
현대로템,15350,15700,15800,15600,15900,15600,15800,15900,16050,15900
한화생명,1485,1550,1485,1470,1485,1515,1475,1435,1425,1400
F&F,83600,84300,84700,85400,85100,86800,85900,84800,87500,88500
현대미포조선,32100,32300,33200,31700,31050,31750,31400,30550,31000,29850
SK네트웍스,5140,5190,5130,5090,5130,5090,5060,4890,4945,4900
대웅제약,110000,107000,107500,107500,106000,107000,109000,109000,107000,108000
녹십자홀딩스,26900,28100,26850,26650,24200,24250,24300,25150,25500,23450
KG동부제철,12350,12600,12150,11750,12200,12300,12200,12250,12400,12250
한화에어로스페이스,24300,24600,24200,24000,23850,24100,24350,23950,23800,23400
태영건설,16100,16400,16450,16900,16950,17100,17400,17100,16950,16800
KCC,138000,142500,142000,139000,141000,144500,140000,136000,136500,133000
영진약품,6470,5990,5740,5530,5440,5440,5520,5540,5390,5380
롯데관광개발,17000,16700,15750,14550,14400,14150,14050,13850,13800,13650
만도,24050,23750,24350,24250,24750,24350,24200,23400,23050,22300
롯데정밀화학,43700,45050,45600,45850,45800,46050,46000,45800,46500,46150
영원무역,24900,25300,25600,25150,25150,25400,26000,25350,25200,24550
신세계인터내셔날,149500,152000,157000,157000,155500,156000,157000,155000,151000,149000
한국테크놀로지그룹,11400,11800,11700,11650,12100,11900,12200,12500,12800,12500
현대위아,38800,37950,39100,40300,40600,40150,40900,39900,40300,35700
한국콜마,44300,45650,47300,46150,45350,45700,44000,42850,42250,41750
코오롱인더,35700,36200,35550,34950,35300,35000,35600,35950,37650,34300
이노션,47500,46850,48200,48750,47600,46850,47300,46250,45300,44700
영풍,510000,512000,488000,482000,489500,495000,499500,489500,486500,481500
대상,26500,26500,25850,26150,26100,26700,27300,27950,28200,27700
코스맥스,91100,93200,94400,94600,96600,93800,91800,99900,99900,95500
SK디스커버리,45600,46250,35600,35450,35250,36700,36400,37050,35850,35700
금호타이어,2990,3035,3025,2975,2985,2995,2995,2945,2960,2940
아시아나항공,3765,3810,3835,3810,3830,3840,3875,3810,3795,3765
롯데칠성,103000,104000,105000,105000,100500,101000,100000,98900,99100,98900
오리온홀딩스,13100,13300,13350,13150,13000,13000,13050,13100,13050,13100
한섬,33300,32600,32650,33600,34700,35150,36000,35600,36150,36600
JW중외제약,38900,36050,35250,34450,34000,33750,33900,34800,32950,32700
GKL,12900,13200,13200,13000,12950,13150,13050,12600,12650,12350
대한유화,122500,125000,121000,124500,124500,127500,129000,122500,124000,114500
보령제약,16550,15650,15350,15600,15700,15550,15800,16000,16100,15600
동아에스티,93000,92900,91700,91700,89100,88800,87900,87000,88200,86500
현대그린푸드,8030,8260,8260,7970,8060,8090,8060,7860,7830,7670
쿠쿠홈시스,34950,35300,36550,37500,34550,34350,32700,32400,33100,32150
태광산업,700000,706000,701000,701000,712000,709000,715000,712000,715000,717000
현대홈쇼핑,62400,63300,64600,64600,65000,64700,64500,64500,63100,61700
후성,7990,8140,8280,8270,8350,8260,8000,7920,8000,7960
두산,44650,47250,48700,41550,38450,38850,38850,38250,37100,36300
동원F&B,190000,190000,191000,191000,185500,185500,188500,188000,185000,187500
롯데하이마트,30950,31600,31900,31400,32050,32250,32800,33100,33950,34000
LIG넥스원,32100,32000,32000,31450,31200,31100,31250,29150,29000,28550
풍산,24200,24650,22600,22800,22550,22550,23150,22650,23200,22850
휴켐스,16300,16550,16950,16200,16300,16500,16200,16100,16000,15550
화승엔터프라이즈,10600,10850,10750,10850,10950,10800,11150,10900,10600,10400
한전기술,16400,17000,16900,16100,15700,15700,15850,15600,15500,15100
S&T모티브,42850,41200,42200,43500,42650,41550,42300,41650,41900,39800
삼양사,60000,59500,54900,42250,42450,42850,43400,42300,42000,41000
동아쏘시오홀딩스,100500,100500,99200,99500,96200,95900,94600,94600,95000,94600
빙그레,62300,61700,62700,63500,62800,62200,61300,60900,60000,59500
애경산업,23150,23050,23150,22650,22900,23000,22550,22200,22400,22100
LG상사,15750,15450,15300,15350,15200,15000,15000,14950,14850,14500
삼양홀딩스,69600,71700,83900,64600,62100,63200,65400,65300,67600,69100
동국제강,6220,6340,6140,6060,5810,5890,5850,5620,5700,5660
SPC삼립,68400,70000,69900,70400,70600,73600,73500,73200,71600,68200
락앤락,10850,10950,11250,11050,11000,10950,10900,10550,10450,10350
쿠쿠홀딩스,81100,82800,84000,83200,83200,82500,82100,82700,82500,80800
HDC,9380,9280,9240,8850,8750,8750,8540,8430,8500,8450
LG하우시스,61900,62700,62900,63000,63800,65200,67300,69800,70600,67500
동원시스템즈,21500,21900,22000,21650,22200,22100,22100,21600,21500,21250
넥센타이어,5230,5300,5230,5240,5370,5330,5340,5280,5260,5180
한일현대시멘트,28250,28300,28350,28100,28100,28200,28500,28450,28800,28250
한세실업,10850,11000,10950,10900,11300,11300,10700,10600,10650,10550
CJ CGV,19800,19900,20450,19450,19500,19550,19850,19850,19600,19250
세방전지,29150,29400,29150,29700,29800,29900,30150,29800,29850,29800
BGF,4200,4295,4335,4360,4360,4400,4400,4320,4285,4295
세아베스틸,11100,11350,10500,10700,10450,10550,10700,10300,10400,10300
남해화학,7810,7820,7740,7600,7640,7660,7640,7520,7540,7510
롯데푸드,331000,334000,334500,334000,334000,339000,341000,343000,341000,341000
유니드,41600,41800,41400,41400,41250,41450,41550,41500,41500,41250
LF,12150,12200,12200,12150,12200,12150,12200,12050,12000,11850
대교,4105,4125,4125,4105,4070,4070,4110,4125,4105,4105
고려제강,15950,16300,16100,16050,15700,15800,15900,15650,15700,15450
한라홀딩스,28050,27700,27650,27600,27400,27150,27000,26900,26900,26300
